Driver,Event,PredictedCategory,TrueCategory,Bad at both_probability,Good at both_probability,Good in corners_probability,Good in straights_probability
LAW,Singapore Grand Prix,Bad at both,Bad at both,0.6644387079004985,0.020168707588543975,0.30858525325978553,0.0068073312511721966
HAM,Singapore Grand Prix,Good in corners,Good in corners,7.079050851581123e-12,3.801693905520517e-12,0.9999999666533328,3.333578650690483e-08
PIA,Singapore Grand Prix,Good at both,Good at both,5.873323470652058e-06,0.9964354305264048,0.0035585126857788614,1.83464345592338e-07
STR,Singapore Grand Prix,Good in corners,Good in corners,0.0009627230431194133,0.37314268765816466,0.6258247726579652,6.98166407511242e-05
ALB,Singapore Grand Prix,Good in straights,Good in straights,0.01662581298243344,0.4230220490918603,0.007361861366483575,0.5529902765592227
ALO,Singapore Grand Prix,Good in corners,Good in corners,0.019520573653667755,0.38805876534943357,0.5682317528162277,0.02418890818067125
LEC,Singapore Grand Prix,Bad at both,Bad at both,0.3931521087064583,0.1403578835911642,0.19258499024896145,0.27390501745341583
NOR,Singapore Grand Prix,Good in corners,Good in corners,0.00033194327475500316,0.06677123490578087,0.932815408731715,8.141308774916843e-05
HAM,Singapore Grand Prix,Good in straights,Good in straights,0.00522831370483312,0.2974257129726125,0.006379692181902798,0.6909662811406518
LEC,Singapore Grand Prix,Good at both,Good at both,1.4414026620241298e-07,0.9994448147143155,0.0005536374319309178,1.4037134874627732e-06
HAM,Singapore Grand Prix,Good in straights,Good in straights,5.568878335497914e-13,5.787821595031129e-13,2.0708124862443817e-13,0.9999999999986573
ALO,Singapore Grand Prix,Good in straights,Good in straights,0.18940282909941109,0.041007279674520954,0.014913076969708007,0.7546768142563599
OCO,Singapore Grand Prix,Bad at both,Bad at both,0.9937711218771832,1.2504601141292605e-05,1.8753006905484825e-05,0.006197620514770069
LAW,Singapore Grand Prix,Good in straights,Good in straights,0.0006833214181386495,0.03581901914340469,0.0006598467572964796,0.9628378126811604
ALO,Singapore Grand Prix,Good in corners,Good in corners,2.898185949431186e-14,4.782432489528703e-14,0.9999999655671448,3.443277834477747e-08
BOR,Singapore Grand Prix,Bad at both,Bad at both,0.9889149950484561,0.005120799546922065,0.0008644624373103479,0.005099742967311319
VER,Singapore Grand Prix,Good in straights,Good in straights,0.006524705872149052,0.00013447317620703613,0.00012312715910124097,0.9932176937925425
HAM,Singapore Grand Prix,Good at both,Good at both,9.74795401412641e-10,0.9999980894887514,1.2735538887129931e-06,6.359825644585307e-07
ALO,Singapore Grand Prix,Good at both,Good at both,0.0006143389011389266,0.9922709314369271,0.006672011886304845,0.0004427177756290512
PIA,Singapore Grand Prix,Good in corners,Good in corners,0.0024480943633702723,0.009467877199804473,0.9855730178003367,0.0025110106364885382
ANT,Singapore Grand Prix,Good at both,Good at both,2.856876827186154e-10,0.9999963113459202,7.279946075508856e-07,2.960373784599977e-06
LAW,Singapore Grand Prix,Bad at both,Bad at both,0.9999344071875285,4.496885476277228e-06,4.7530297032095355e-06,5.634289729182015e-05
BOR,Singapore Grand Prix,Good in straights,Good in straights,0.009411462346680083,1.0182451878174787e-05,1.2418486887912968e-05,0.9905659367145542
COL,Singapore Grand Prix,Good in straights,Good in straights,1.0148987307583635e-09,7.118736003673356e-10,3.3569462892001526e-10,0.999999997937533
RUS,Singapore Grand Prix,Good in straights,Good in straights,0.11608206400292481,0.0018671950274070912,0.006437001059157877,0.8756137399105103
HUL,Singapore Grand Prix,Good at both,Good in straights,0.046874480029943065,0.640098069989003,0.031323839203597055,0.2817036107774566
ANT,Singapore Grand Prix,Good in straights,Good in straights,0.035451834230499905,0.0004206085869812091,0.0010206683423486292,0.9631068888401701
PIA,Singapore Grand Prix,Good at both,Good at both,7.979637955199401e-09,0.9999228178404244,7.367062261737602e-05,3.5035573203439746e-06
HAM,Singapore Grand Prix,Good in straights,Good in straights,0.000766568213267477,0.00205181559478627,0.0004600940258682039,0.996721522166078
BEA,Singapore Grand Prix,Good in straights,Good in straights,0.08400412876633115,0.04159620895274467,0.05147961881412284,0.8229200434668011
SAI,Singapore Grand Prix,Bad at both,Bad at both,0.9966198035165051,0.000307432139957634,0.0028871335046909735,0.0001856308388464755
NOR,Singapore Grand Prix,Good at both,Good at both,0.007018255172890593,0.8184906025299752,0.16123125748196623,0.013259884815167901
ALO,Singapore Grand Prix,Good in corners,Good in corners,0.2871350632689189,0.0058484976821508924,0.6986632682149316,0.008353170833998128
SAI,Singapore Grand Prix,Bad at both,Bad at both,0.9973172934565044,0.00016586890697720951,0.0003901967879808101,0.0021266408485374278
VER,Monaco Grand Prix,Good in corners,Good in corners,0.22271452434033648,2.743247152584015e-06,0.7772825197044109,2.1270810019524937e-07
SAI,Monaco Grand Prix,Good in straights,Good in straights,0.007217846557969377,0.0001826928757100783,0.0005088396212484214,0.9920906209450718
OCO,Monaco Grand Prix,Good in straights,Good in straights,5.7188166619620776e-11,7.652893360691713e-11,2.5360955159084376e-11,0.999999999840922
NOR,Monaco Grand Prix,Bad at both,Bad at both,0.8766902177506115,2.0981241556839233e-05,0.12326124455034948,2.755645748215841e-05
LEC,Monaco Grand Prix,Good at both,Good at both,0.002439902752046397,0.9651617441952641,0.0026513207868312113,0.02974703226585841
HAD,Monaco Grand Prix,Bad at both,Bad at both,0.9807431466659781,0.0011909899851486492,0.00023976416480225054,0.017826099184070965
COL,Monaco Grand Prix,Good at both,Good at both,0.0002622576512091267,0.9541753530355893,0.0003914167304305563,0.04517097258277071
LEC,Monaco Grand Prix,Good in corners,Good in corners,0.05427232227508224,0.0829604741147276,0.8210284871742336,0.04173871643595669
PIA,Monaco Grand Prix,Good in corners,Good in corners,1.0567982994499658e-08,6.845544450683529e-09,0.9999784935738468,2.1489012625694114e-05
STR,Monaco Grand Prix,Bad at both,Bad at both,0.9178697526520746,0.0010224734839985202,0.001001779406210677,0.08010599445771617
HUL,Monaco Grand Prix,Bad at both,Bad at both,0.9975649545755778,0.00021912710565070268,1.3063811985236309e-05,0.0022028545067861614
LAW,Monaco Grand Prix,Bad at both,Bad at both,0.9911803438772288,0.0013636805039436652,0.003628127263078987,0.003827848355748509
ANT,Monaco Grand Prix,Good in straights,Good in straights,0.10289641019597168,0.08125156374490988,0.11046702545239996,0.7053850006067185
STR,Monaco Grand Prix,Good in corners,Good in corners,0.003854690914615459,0.03540070922185614,0.9589409526783496,0.0018036471851788733
ALO,Monaco Grand Prix,Good in corners,Good in corners,4.754313293976781e-11,2.5532145480180293e-11,0.9999999665773558,3.334956903575751e-08
ALO,Monaco Grand Prix,Good in corners,Good in corners,1.9483319441793132e-13,1.0463255982330285e-13,0.9999999666662991,3.333340138236918e-08
STR,Monaco Grand Prix,Good at both,Good at both,0.011892566327350598,0.6963441371513966,0.2774848097402413,0.014278486781011466
NOR,Monaco Grand Prix,Good at both,Good at both,1.3100832849807986e-06,0.9983284951266813,1.5203056686103604e-06,0.00166867448436488
VER,Monaco Grand Prix,Good in straights,Good in straights,0.1884910689540631,0.00023200849707340156,4.469441388676782e-05,0.8112322281349766
LEC,Monaco Grand Prix,Bad at both,Bad at both,0.9998998937566751,4.203603527701627e-05,6.905178209224485e-07,5.7379690226951434e-05
HAD,Monaco Grand Prix,Bad at both,Bad at both,0.567555003471258,0.012754786448369006,0.008634725494896474,0.41105548458547647
SAI,Monaco Grand Prix,Bad at both,Bad at both,0.9999994149028762,3.0136196818023616e-07,1.115290690724982e-07,1.7220608676453582e-07
PIA,Monaco Grand Prix,Good at both,Good at both,0.0005641442039424954,0.9633344487993074,0.03596600491871659,0.00013540207803360282
HAM,Monaco Grand Prix,Good in straights,Good in straights,0.0011644295519341085,0.01357286772144391,0.0009880298375602257,0.984274672889062
TSU,Monaco Grand Prix,Good in straights,Good in straights,0.053992366588617925,0.16258645723648044,0.07004744051056648,0.713373735664335
VER,Monaco Grand Prix,Good at both,Good at both,0.0003490625955864105,0.971616126680818,0.028017135009490882,1.767571410477043e-05
VER,Monaco Grand Prix,Good in corners,Good in corners,1.3572283381546095e-05,0.00507352105762463,0.9948849623263619,2.794433263187072e-05
VER,Monaco Grand Prix,Good in corners,Good in corners,3.8373403028999505e-08,6.347791042291369e-08,0.9999936168908815,6.281257804822325e-06
LAW,Monaco Grand Prix,Good in straights,Good in straights,0.00044298938786014886,0.07045152405449447,0.0032921623695208063,0.9258133241881245
SAI,Monaco Grand Prix,Good in straights,Good in straights,4.2095987722955637e-13,2.278687844262731e-13,1.4199211290987455e-13,0.9999999999992092
PIA,Monaco Grand Prix,Good at both,Good at both,4.4214097369593737e-08,0.9996919899182193,0.00030791335568058236,5.2512002708394566e-08
VER,Monaco Grand Prix,Bad at both,Bad at both,0.9927879463250084,1.6823679023962263e-05,0.0071950999036374886,1.3009233019246135e-07
HAD,Monaco Grand Prix,Good in corners,Good in corners,0.1380056151800421,7.181261841003883e-05,0.8616308459834896,0.0002917262180580028
HUL,Monaco Grand Prix,Good in corners,Good in corners,0.1242638929994317,0.005947380818095118,0.8580005555708641,0.011788170611609064
NOR,Monaco Grand Prix,Good in corners,Good in corners,0.0029660745400434114,9.111203910893052e-05,0.9968493316737742,9.348174707320829e-05
NOR,Monaco Grand Prix,Good in straights,Good in straights,0.39398504589090766,0.006031901012314307,0.0009899711526842815,0.5989930819440936
ALO,Monaco Grand Prix,Good in corners,Good in corners,3.0145321967317164e-14,1.796645834677938e-14,0.9999999666666065,3.333334553800728e-08
HAD,Monaco Grand Prix,Bad at both,Bad at both,0.9997962106376016,8.350145920550046e-05,8.363844079081166e-05,3.664946240212982e-05
PIA,Monaco Grand Prix,Good at both,Good at both,0.0012345129232765033,0.9845571106323247,0.009951392434110222,0.0042569840102886026
HAM,Monaco Grand Prix,Good in straights,Good in straights,4.563462983621621e-07,2.8119188082846914e-07,1.5152396381827565e-07,0.999999110937857
SAI,Monaco Grand Prix,Bad at both,Bad at both,0.9930062225824192,5.1049321744189897e-05,2.3588462936070315e-05,0.00691913963290039
COL,Monaco Grand Prix,Bad at both,Bad at both,0.9997259199905009,0.00012800615079210052,4.278907980146524e-05,0.00010328477890580919
PIA,Monaco Grand Prix,Good at both,Good in corners,0.00038495423037398753,0.49438154013746005,0.5051847673652929,4.873826687312966e-05
HAD,Monaco Grand Prix,Bad at both,Bad at both,0.2997094703741438,0.28350769281163424,0.15156882216315176,0.2652140146510703
SAI,Monaco Grand Prix,Bad at both,Bad at both,0.9994425212096588,3.371632136444705e-05,0.0003047982166303475,0.00021896425234642014
VER,Monaco Grand Prix,Good in straights,Good in straights,0.00011748426823664426,0.012412474446170932,0.0004045149294731745,0.9870655263561193
VER,Monaco Grand Prix,Good at both,Good at both,0.04233178233136979,0.7580628372290303,0.03809055068242142,0.16151482975717846
HAD,Monaco Grand Prix,Bad at both,Bad at both,0.9944111739261214,0.0001963464706990097,0.0051469490148541176,0.0002455305883254955
PIA,Monaco Grand Prix,Good at both,Good at both,0.0012769721269578415,0.9930988743677119,0.004171875051379485,0.0014522784539507444
OCO,Monaco Grand Prix,Bad at both,Bad at both,0.9999216490860421,1.5699222451444855e-06,2.1493425099305753e-07,7.656605746182992e-05
ALB,Monaco Grand Prix,Bad at both,Bad at both,0.9766220476840168,0.0002674774632924649,0.022706561425794823,0.00040391342689574363
SAI,Monaco Grand Prix,Bad at both,Bad at both,0.8289855872769115,0.03331238067929701,0.008763466870137883,0.12893856517365382
LAW,Monaco Grand Prix,Good in straights,Good in straights,0.009215432574654629,0.0023971303726015958,0.0007223559101772887,0.9876650811425666
NOR,Monaco Grand Prix,Good at both,Good at both,0.00015532711621667766,0.8842493770465156,0.11557324091469552,2.2054922572134545e-05
PIA,Monaco Grand Prix,Good in corners,Good in corners,1.4991537924349934e-06,1.0373401484999518e-06,0.9999834352776928,1.402822836614052e-05
BEA,Monaco Grand Prix,Good at both,Good at both,0.00013399816927097495,0.982868944059311,0.016955184782307953,4.1872989110106125e-05
SAI,Monaco Grand Prix,Good in corners,Good in corners,0.18665603719721063,0.0008685221587261805,0.8097502499520366,0.0027251906920267594
STR,Monaco Grand Prix,Bad at both,Bad at both,0.7557059669706242,0.06394595983374955,0.09373543777445097,0.08661263542117541
LAW,Monaco Grand Prix,Good in corners,Good in corners,0.15078370431060478,0.04910995314180316,0.7490285612922435,0.05107778125534863
HAM,Monaco Grand Prix,Good at both,Good at both,2.572025994236474e-07,0.9992696349031462,4.944470323627758e-07,0.0007296134472220913
VER,Monaco Grand Prix,Bad at both,Bad at both,0.9995221335079313,3.486815036626217e-05,9.81253376782919e-06,0.00043318580793454917
SAI,Monaco Grand Prix,Good in straights,Good in straights,3.3383769491787495e-09,1.8553341419277532e-09,1.119769043551274e-09,0.9999999936865198
LAW,Monaco Grand Prix,Bad at both,Bad at both,0.9298064261120231,0.011128462788596992,0.00917188195646239,0.049893229142917696
NOR,Monaco Grand Prix,Good in corners,Good in corners,0.0007605547339381979,0.04136123229863136,0.9577788108060419,9.940216138866142e-05
PIA,Monaco Grand Prix,Bad at both,Bad at both,0.7469567677090521,0.0558806428529683,0.017240069006294018,0.1799225204316858
PIA,Monaco Grand Prix,Good at both,Good at both,0.005876889713439539,0.5364233214540227,0.005264729598441252,0.45243505923409644
HAD,Monaco Grand Prix,Good in straights,Good in straights,0.35995273167817177,0.00018293240746603616,8.946720698244689e-05,0.6397748687073792
PIA,Monaco Grand Prix,Good at both,Good at both,4.053956418021158e-07,0.9990656112433882,0.00093210804048556,1.8753204842666056e-06
RUS,Monaco Grand Prix,Good in straights,Good at both,7.188162676690998e-05,0.2298601637515423,0.0031721579494735186,0.7668957966722173
SAI,Monaco Grand Prix,Good at both,Good at both,0.0006896922852520106,0.9546676748205674,0.0015387469460313567,0.043103885948149165
LEC,Monaco Grand Prix,Good at both,Good at both,0.0021652073564511288,0.7767013522875814,0.009542666639953177,0.211590773716014
RUS,Monaco Grand Prix,Bad at both,Bad at both,0.9857480510523513,0.00028491128250131406,9.991611723842811e-05,0.01386712154790914
VER,Monaco Grand Prix,Bad at both,Bad at both,0.8875082237454258,0.004121165614022811,0.060451426420680444,0.047919184219870764
BEA,Monaco Grand Prix,Good in straights,Good in straights,3.4984612579551125e-14,4.317627987040579e-14,1.4520656645650954e-14,0.9999999999999073
PIA,Monaco Grand Prix,Good at both,Good at both,0.0015422401605801788,0.8978565626754914,0.09431917998605277,0.006282017177875523
HAM,Monaco Grand Prix,Good in straights,Good in straights,1.354085921279176e-06,7.395460369542008e-07,4.5777679547140034e-07,0.9999974485912463
ALB,Monaco Grand Prix,Good at both,Good at both,8.316298349131656e-05,0.5300858580345787,0.4698240345529329,6.944428996576749e-06
PIA,Monaco Grand Prix,Good at both,Good at both,4.5407439614627465e-07,0.9990595229005353,2.0714890580268115e-06,0.0009379515360105242
PIA,Monaco Grand Prix,Good in straights,Good in straights,0.07681361078641415,0.04205924454881862,0.016145368179549823,0.8649817764852173
RUS,Monaco Grand Prix,Bad at both,Bad at both,0.9960609464539815,0.0001312613424747066,8.388551160421585e-06,0.003799403652383355
SAI,Monaco Grand Prix,Good in corners,Good in corners,0.17391419198919625,0.2666988855287928,0.47391740406890615,0.08546951841310477
LEC,Monaco Grand Prix,Good at both,Good at both,1.3326040553582113e-11,0.9999946078807773,5.3344843824826485e-06,5.7621514187008796e-08
HAM,Monaco Grand Prix,Good in straights,Good in straights,0.0056516049583103765,0.06702144435583639,0.00911389749198926,0.9182130531938639
LEC,Monaco Grand Prix,Good in straights,Good in straights,0.007714114362103237,0.14063016583088467,0.005276438102607586,0.8463792817044041
HAD,Monaco Grand Prix,Good in straights,Good in straights,2.0151128075079178e-06,1.560492561727085e-06,6.737966377740646e-07,0.999995750597993
COL,Monaco Grand Prix,Good in straights,Good in straights,1.04356766100456e-08,1.846220858223756e-08,6.4272573866119e-09,0.9999999646748574
ALB,Monaco Grand Prix,Good at both,Good at both,0.0006274650762013157,0.9919540616220192,0.0068914817839785154,0.0005269915178011465
SAI,Monaco Grand Prix,Bad at both,Good in straights,0.5365719342075556,0.0607981917343246,0.033325776587542454,0.3693040974705774
LEC,Monaco Grand Prix,Bad at both,Bad at both,0.9999862692970687,8.938251511795545e-08,5.0105855164167064e-08,1.3591214560911716e-05
VER,Monaco Grand Prix,Good in straights,Good at both,0.0011458659976148727,0.49665681725525945,0.006111117038070338,0.49608619970905515
HAM,Monaco Grand Prix,Good at both,Good at both,0.0014442895005729154,0.8665597983507083,0.12872348121280786,0.003272430935911023
VER,Monaco Grand Prix,Good in straights,Good in straights,6.50981500947107e-05,0.010836152990478725,0.0001786007915739003,0.9889201480678524
ALB,Monaco Grand Prix,Bad at both,Bad at both,0.9980711160038123,0.0005633952671389576,0.0004976219200014458,0.0008678668090474629
ALB,Monaco Grand Prix,Good in straights,Good in straights,0.35440569555115,0.0020005314207858084,0.0032133919154156304,0.6403803811126486
ALB,Monaco Grand Prix,Good in corners,Good in corners,0.03382788083050797,0.0243234664930036,0.9289212268845647,0.012927425791924173
ANT,Monaco Grand Prix,Good at both,Good at both,0.0004656935240780487,0.6377315128964918,0.0004508715261850569,0.36135192205324523
HAD,Monaco Grand Prix,Bad at both,Bad at both,0.9999986200354601,2.5652266447145324e-07,5.1692489188694507e-08,1.0717493863415436e-06
ALO,Monaco Grand Prix,Bad at both,Bad at both,0.7906445761437276,0.000119278149699049,0.20914601902757088,9.012667900275051e-05
RUS,Monaco Grand Prix,Good in straights,Good in straights,0.0001666989139530106,0.01843411697076462,5.427185976462653e-05,0.9813449122555178
RUS,Monaco Grand Prix,Good in corners,Good in corners,0.025749222420246458,0.2925585785035537,0.6444301126917479,0.03726208638445191
OCO,Monaco Grand Prix,Good at both,Good at both,0.007419950076341245,0.6691972781409987,0.3085125781047583,0.014870193677901612
SAI,Monaco Grand Prix,Bad at both,Bad at both,0.7874323932379332,0.005358454738545297,0.001891616126446501,0.20531753589707508
VER,Monaco Grand Prix,Good at both,Good at both,0.02424979581937783,0.9405277088659884,0.023914866760439624,0.01130762855419401
COL,Monaco Grand Prix,Bad at both,Bad at both,0.9961083911692661,3.38692929456011e-05,7.761255561530685e-06,0.0038499782822269636
ALB,Monaco Grand Prix,Good in corners,Good in corners,0.004891328006673111,9.842612188637788e-08,0.9951085280410047,4.552620023325311e-08
ALB,Monaco Grand Prix,Bad at both,Good in corners,0.6080777172505338,0.00010870254487917923,0.3914122757761666,0.0004013044284199702
HAD,Monaco Grand Prix,Good at both,Good in corners,0.02870696808349571,0.5610534020623302,0.3995257047939574,0.010713925060216699
HAD,Monaco Grand Prix,Good in corners,Good in corners,1.6833843604031052e-12,2.50359787095589e-12,0.9999999002593906,9.973642243844817e-08
LEC,Monaco Grand Prix,Good at both,Good at both,1.185922070077169e-09,0.9999802254467273,1.3880836656253883e-05,5.892530694189577e-06
VER,Monaco Grand Prix,Good at both,Good at both,0.0031367101418080896,0.9911619113416199,0.0036571533222412972,0.0020442251943305345
OCO,Monaco Grand Prix,Good in straights,Good in straights,0.23593243929565547,0.22072656477631095,0.20573772940177823,0.3376032665262553
ALB,Monaco Grand Prix,Good at both,Good at both,1.0671967946094312e-10,0.9999880206908554,2.6807116217980856e-06,9.298490803109481e-06
BEA,Monaco Grand Prix,Good in straights,Good in straights,4.789042415088324e-05,0.009899014842718927,3.223421142518482e-05,0.9900208605217049
LAW,Monaco Grand Prix,Good in straights,Good in straights,2.6712838979749833e-10,4.448621217943263e-10,1.5055868833604315e-10,0.9999999991374507
PIA,Monaco Grand Prix,Good at both,Good at both,0.013958078852177303,0.8759168816015691,0.019650798336698957,0.09047424120955502
BOR,Monaco Grand Prix,Good in straights,Good in straights,0.003953464092126962,0.00019183928262923676,1.8335085226839952e-05,0.995836361540017
NOR,Monaco Grand Prix,Good in corners,Good in corners,0.005322841502539549,0.00020326374442681996,0.9943353017247503,0.0001385930282835282
HAD,Monaco Grand Prix,Bad at both,Bad at both,0.5258529394183004,0.00021187012018272677,0.47340267702559824,0.000532513435918671
OCO,Monaco Grand Prix,Good in corners,Good in corners,0.18219780225060042,0.03952216717912449,0.7236865256050092,0.05459350496526555
BOR,Monaco Grand Prix,Good in corners,Good in corners,1.2385951638099366e-05,1.735983819465868e-05,0.9986723422348683,0.0012979119752987705
VER,Monaco Grand Prix,Good in corners,Good in corners,0.0007796711087645226,0.13500662330954064,0.8638493385220868,0.000364367059607697
ANT,Monaco Grand Prix,Good in corners,Bad at both,0.46482022915471527,0.007075180796276285,0.5252268045533822,0.002877785495626143
LAW,Monaco Grand Prix,Bad at both,Bad at both,0.9876229629419266,0.000216197816993584,0.006645540421389535,0.005515298819690485
HAD,Monaco Grand Prix,Bad at both,Bad at both,0.9995901896351038,6.765451911907733e-05,0.00024148744780377177,0.00010066839797314686
HAM,Monaco Grand Prix,Good in corners,Good in corners,0.0002779677967271954,0.021704978174176465,0.9774485959505523,0.000568458078544238
LAW,Monaco Grand Prix,Good at both,Good at both,0.01999848279343491,0.847056116467807,0.03989290517622381,0.09305249556253414
COL,Monaco Grand Prix,Bad at both,Bad at both,0.9206805261110037,0.0032294881072639538,0.07101855040935798,0.0050714353723742564
OCO,Monaco Grand Prix,Good at both,Good at both,5.248184669495403e-06,0.9966207864937664,0.0033637588993005543,1.0206422263529383e-05
PIA,Monaco Grand Prix,Good at both,Good at both,0.0019332611927657848,0.9918560716909958,0.00279610645908775,0.0034145606571509926
OCO,Monaco Grand Prix,Good in straights,Good in straights,0.03089701103262382,0.0007342631882667575,0.00020527753650443655,0.9681634482426048
ANT,Monaco Grand Prix,Good at both,Good at both,0.0007808408474094231,0.8250542451291493,0.01624752747427324,0.1579173865491678
LEC,Monaco Grand Prix,Good in corners,Good at both,0.0006343870903033207,0.3607601378645701,0.6371653095101937,0.0014401655349329393
COL,Monaco Grand Prix,Bad at both,Bad at both,0.8874301250289426,0.024442457355650468,0.0206343338997999,0.06749308371560683
PIA,Monaco Grand Prix,Good in corners,Good in corners,0.0001090810237031792,0.015155750052511031,0.9847334189320834,1.7499917024712037e-06
OCO,British Grand Prix,Good in straights,Good in straights,0.11939080994708454,0.007813616160188984,0.006638712726279467,0.8661568611664467
SAI,British Grand Prix,Good in straights,Good in straights,0.015638719659975698,0.1700759408991459,0.00044773795047347035,0.813837601490405
STR,British Grand Prix,Good in corners,Good in corners,7.027149233101845e-05,0.002425092231060996,0.9974639980969797,4.063817962816288e-05
SAI,British Grand Prix,Good at both,Good at both,0.000491295822727757,0.997089803853511,0.00046967392756764643,0.0019492263961936205
